standard_make,average_price,rank
Daewoo,772.7,106
Proton,1384.72,105
Perodua,1524.9,104
Daihatsu,2751.3896103896104,103
Carbodies,2950.0,102
Saab,3387.496,101
Reliant,3999.0,100
Aixam,4147.5,99
Rover,4575.068181818182,98
Chevrolet,4704.59325044405,97
Chrysler,4833.928571428572,96
Opel,5165.0,95
Smart,6848.045771916214,94
Mitsuoka,6990.0,93
Pontiac,6990.0,93
Buick,7500.0,92
Great Wall,7939.166666666667,91
Vauxhall,8160.843650344232,90
Citroen,8397.40956480153,89
Mev,8495.0,88
Tiger,8750.0,87
Wolseley,9000.0,86
Fiat,9112.123675611447,85
Suzuki,9682.597740568892,84
Peugeot,9938.665871279909,83
Dacia,10457.110227272728,82
London Taxis International,10459.576923076924,81
Renault,10808.02904791732,80
Honda,11024.653624733475,79
Toyota,11391.846399270738,78
Nissan,11414.094284417091,77
Hyundai,11638.356349632813,76
Infiniti,11857.898550724638,75
Westfield,12189.166666666666,74
MINI,12319.113811762618,73
Kia,12522.063141473027,72
SEAT,12916.554493506494,71
Panther,12950.0,70
Mazda,13026.766226138032,69
Morris,13408.333333333334,68
SKODA,13671.097614768829,67
Volkswagen,13957.895285184532,66
Iveco,14476.8,65
DS AUTOMOBILES,14645.156685236769,64
MG,14797.844680851063,63
Gentry,14995.0,62
Abarth,15465.976784178847,61
Daimler,15822.56,60
Triumph,15899.25,59
SsangYong,16006.009735744088,58
Cadillac,16078.25,57
Mitsubishi,16805.658077591197,56
Isuzu,17377.31914893617,55
Beauford,17500.0,54
Subaru,18590.701668302256,53
BMW,19894.799897604484,52
Audi,20408.24713789372,51
Alfa Romeo,20465.788985148516,50
Mercedes-Benz,21533.873191381816,49
Lexus,22194.76544502618,48
Jeep,22624.609705730512,47
Holden,22871.25,46
Austin,24109.032258064515,45
Volvo,24799.74545775269,44
International,24995.0,43
Leyland,25000.0,42
GMC,25991.333333333332,41
Sebring,26000.0,40
Jaguar,26301.73015236568,39
Lincoln,26330.833333333332,38
Hummer,26372.777777777777,37
TVR,27020.977777777778,36
Zenos,27997.0,35
Custom Vehicle,29850.0,34
Dax,30490.0,33
Dodge,31816.116279069767,32
Caterham,32382.45,31
Pilgrim,33497.0,30
Plymouth,34997.5,29
Land Rover,35604.33383274312,28
CUPRA,36053.606060606064,27
Ariel,36497.0,26
Maserati,38496.400890868594,25
Bristol,40000.0,24
Noble,40487.5,23
Replica,40737.5,22
Jensen,42663.333333333336,21
Ultima,44995.0,20
AK,44995.0,20
Morgan,46799.2,19
Lotus,48272.45394736842,18
LEVC,49406.0,17
Tesla,51953.70254957507,16
Porsche,55696.75480093677,15
Alpine,56048.97777777778,14
Corvette,61911.5,13
Datsun,69500.0,12
Maybach,78741.25,11
Bentley,78918.7445972495,10
Aston Martin,104185.63505747127,9
BAC,106450.0,8
Radical,125950.0,7
Rolls-Royce,149910.50537634408,6
Lancia,165723.75,5
Ferrari,167431.1425,4
Lamborghini,183832.7370030581,3
McLaren,186463.18660287082,2
Bugatti,1671666.6666666667,1
